URL - REST CB;Typ;Sciezka bazowa;Nazwa uslugi;Nazwa pliku z usluga;Ilosc param WE
POST {{CB_BASE_URL}}/application/oauth/token;post;/application/oauth;token;Nie znaleziono uslugi;-1
GET {{CB_BASE_URL}}/application/api/general-settings/dictionaries/ProductItem;get;application/api/general-settings;dictionaries;Business_Development___Product_Management___General_Settings.yaml;2
GET {{CB_BASE_URL}}/application/api/product-directory/products/{{product_id}};get;/application/api/product-directory;products;Business_Development___Product_Management___Product_Directory.yaml;15
GET {{CB_BASE_URL}}/application/api/product-directory/products/{{product_id}}/properties;get;/application/api/product-directory;products / properties;Business_Development___Product_Management___Product_Directory.yaml;3
POST {{CB_BASE_URL}}/application/api/party-data-management/customers/persons/328349/editable;post;/application/api/party-data-management;customers / persons;Customers___Party_Reference___Party_Data_Management.yaml;23
GET {{CB_BASE_URL}}/application/api/customer-agreement/root-numbers?involvedParties=%5B%7B%22customerId%22:%22328349%22,%22roles%22:%5B%22OWNER%22%5D%7D%5D&size=2147483647;get;/application/api/customer-agreement;root-numbers;Customers___Relationship_Management___Customer_Agreement.yaml;8
GET {{CB_BASE_URL}}/application/api/credit-common/credits/{{contract_id}};get;/application/api/credit-common;credits;Products___Loans_and_Deposits___Credit_Common.yaml;18
POST {{CB_BASE_URL}}/application/api/systems-operations/api-operations/bulk-accept?correlationId={{correlation_id}};post;/application/api/systems-operations;api-operations;Resource_Management___Platform_Operations___Systems_Operations.yaml;7
POST {{CB_BASE_URL}}/application/api/loan/loans/{{contract_id}}/tranches/{{tranche_id}}/payments;post;/application/api/loan;loans / tranches / payments  ;Nie znaleziono uslugi;-1
POST {{CB_BASE_URL}}/application/api/loan/loans/{{contract_id}}/payment-schedules/{{schedule_id}}/rate;post;/application/api/loan;loans / payment-schedules / rate;Products___Loans_and_Deposits___Loan.yaml;-1
POST {{CB_BASE_URL}}/application/api/loan/loans/{{contract_id}}/payment-schedules;post;/application/api/loan;loans / payment-schedules;Products___Loans_and_Deposits___Loan.yaml;7
